trend;start_lifetime;total_tweets;total_hashtags;total_mentions;total_reply_to;total_url;total_photo;total_retweets;total_likes;total_replies;total_interaction;tweet_count_01;tweet_count_12;tweet_count_23;tweet_count_34;tweet_count_45;tweet_count_56;tweet_count_67;tweet_vel_01;tweet_vel_12;tweet_vel_23;tweet_vel_34;tweet_vel_45;tweet_vel_56;tweet_vel_67;tweet_acc_01;tweet_acc_12;tweet_acc_23;tweet_acc_34;tweet_acc_45;tweet_acc_56;tweet_acc_67;user_count_01;user_count_12;user_count_23;user_count_34;user_count_45;user_count_56;user_count_67
#carteldesinaloa;6;1;1;5;1;0;1;4.0;3.0;0.0;7.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
#corrermehaenseñado;6;1;9;1;1;0;1;1.0;15.0;0.0;16.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
#yoelegicorrer;6;1;9;1;1;0;1;1.0;15.0;0.0;16.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
#correvivesiente;6;1;9;1;1;0;1;1.0;15.0;0.0;16.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
#corrermola;6;1;9;1;1;0;1;1.0;15.0;0.0;16.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
#nikeplus;6;1;9;1;1;0;1;1.0;15.0;0.0;16.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
#strava;6;1;9;1;1;0;1;1.0;15.0;0.0;16.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
#correresdevalientes;6;1;9;1;1;0;1;1.0;15.0;0.0;16.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
#brooks;6;1;9;1;1;0;1;1.0;15.0;0.0;16.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
#ghost12;6;1;9;1;1;0;1;1.0;15.0;0.0;16.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
#madrid;9;1;7;1;1;0;1;2.0;3.0;0.0;5.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
#madrid;11;4;4;10;4;0;2;1.0;38.0;6.0;45.0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4
#madrid;15;1;1;1;1;0;0;0.0;17.0;4.0;21.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
#soundtrack;6;3;3;9;3;0;0;0.0;22.0;6.0;28.0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3
madrid;9;1;1;1;1;0;0;0.0;17.0;4.0;21.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
madrid;10;1;1;1;1;0;0;0.0;17.0;4.0;21.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
madrid;11;2;2;2;2;1;1;5.0;25.0;4.0;34.0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2
madrid;12;1;1;1;1;0;0;0.0;17.0;4.0;21.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
madrid;13;1;1;1;1;0;0;1.0;5.0;1.0;7.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
madrid;15;1;1;1;1;0;0;1.0;5.0;1.0;7.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
madrid;16;1;1;1;1;0;0;1.0;5.0;1.0;7.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
amigo;8;1;1;1;1;0;0;1.0;5.0;1.0;7.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
amigo;11;4;4;4;4;0;0;1.0;6.0;1.0;8.0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4
amigo;16;2;2;2;2;0;0;2.0;10.0;2.0;14.0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;1
haber;11;3;3;3;3;0;0;1.0;5.0;1.0;7.0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3
haber;13;2;2;2;2;0;1;3.0;174.0;4.0;181.0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2
haber;17;1;1;1;1;0;0;1.0;5.0;1.0;7.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
buenos;6;1;1;1;1;0;0;1.0;5.0;1.0;7.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
buenos;7;1;1;1;1;1;1;5.0;8.0;0.0;13.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
buenos;8;1;1;1;1;1;1;5.0;8.0;0.0;13.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
buenos;9;1;1;1;1;1;1;5.0;8.0;0.0;13.0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
