location;date;trend;day;month
Spain;2020-01-07;#VamosRZ;07;01
Spain;2020-01-07;#ManchesterDerby;07;01
Spain;2020-01-07;#logitravelbirratour;07;01
Spain;2020-01-07;#EspañaNoEsUnMito;07;01
Spain;2020-01-07;#UnFuturoIlusionante;07;01
Spain;2020-01-07;#EneroCuestaMenosConHTCMania;07;01
Spain;2020-01-07;#TeAlquilo7E;07;01
Spain;2020-01-07;#GetWellSoonHaseul;07;01
Spain;2020-01-07;#LosOtrosdeMovistar;07;01
Spain;2020-01-07;#ElCascabel7E;07;01
Spain;2020-01-07;#CarminaBarriosEH;07;01
Spain;2020-01-07;#DakarTVE7EN;07;01
Spain;2020-01-07;#lanoche24h;07;01
Spain;2020-01-07;#ElIntermedioInvestidura;07;01
Spain;2020-01-07;#167traidores;07;01
Spain;2020-01-07;sadio mané;07;01
Spain;2020-01-07;Batista;07;01
Spain;2020-01-07;Raúl Guti;07;01
Spain;2020-01-07;Wind River;07;01
Spain;2020-01-07;Wyoming;07;01
Spain;2020-01-07;mariño;07;01
Spain;2020-01-07;Ánimo Tomás;07;01
Spain;2020-01-07;sterling;07;01
Spain;2020-01-07;Raúl de Tomás;07;01
Spain;2020-01-07;Cordero;07;01
Spain;2020-01-07;Al Thani;07;01
Spain;2020-01-07;Darko Kovacevic;07;01
Spain;2020-01-07;Carlos Herrera;07;01
Spain;2020-01-07;Vigaray;07;01
Spain;2020-01-07;Policías;07;01
Spain;2020-01-07;Manu García;07;01
Spain;2020-01-07;Carmona;07;01
Spain;2020-01-07;Los Juegos del Hambre;07;01
Spain;2020-01-07;La Romareda;07;01
Spain;2020-01-07;Old Trafford;07;01
Spain;2020-01-07;de bruyne;07;01
Spain;2020-01-07;Javi Fuego;07;01
Spain;2020-01-07;el málaga;07;01
Spain;2020-01-07;Djukic;07;01
Spain;2020-01-07;Bernardo Silva;07;01
Spain;2020-01-07;Molinero;07;01
Spain;2020-01-07;Vox Teruel;07;01
Spain;2020-01-07;Cristina Cifuentes;07;01
Spain;2020-01-07;Víctor;07;01
Spain;2020-01-07;#CachitosDespropositos;07;01
Spain;2020-01-07;#firstdates7e;07;01
Spain;2020-01-07;#tuiteacomouncomunista;07;01
Spain;2020-01-07;#VictorNoSeToca;07;01
Spain;2020-01-07;#EscuchandoCórdobayJaén;07;01
Spain;2020-01-08;#BestMusicVideo;08;01
Spain;2020-01-08;#venacenarpascual;08;01
Spain;2020-01-08;#AMiNoMeHables;08;01
Spain;2020-01-08;#LaNoche24h;08;01
Spain;2020-01-08;#jungkookday;08;01
Spain;2020-01-08;#protocolocontaminacion;08;01
Spain;2020-01-08;#ElCascabel8E;08;01
Spain;2020-01-08;#TeAlquilo8E;08;01
Spain;2020-01-08;#DakarTVE8EN;08;01
Spain;2020-01-08;#iHeartAwards;08;01
Spain;2020-01-08;#GFVIP;08;01
Spain;2020-01-08;#ParaQuéReyes;08;01
Spain;2020-01-08;#EscalaSur8;08;01
Spain;2020-01-08;Zizou;08;01
Spain;2020-01-08;M-30;08;01
Spain;2020-01-08;Soler;08;01
Spain;2020-01-08;Campeón de Copa;08;01
Spain;2020-01-08;Golazo;08;01
Spain;2020-01-08;Cillessen;08;01
Spain;2020-01-08;coquelin;08;01
