location;date;trend;day;month
Spain;2020-03-01;#ElcheNumancia;01;03
Spain;2020-03-01;#DeporLugo;01;03
Spain;2020-03-01;#AnaGuerraTelegram;01;03
Spain;2020-03-01;#EquipoArrimadas;01;03
Spain;2020-03-01;#VivaLaVida276;01;03
Spain;2020-03-01;#Giandara1M;01;03
Spain;2020-03-01;#MAPOF7;01;03
Spain;2020-03-01;#LuimeliaNosotres;01;03
Spain;2020-03-01;#athleticvillarealengol;01;03
Spain;2020-03-01;#2YearsIntoHopeWorld;01;03
Spain;2020-03-01;#KBK20;01;03
Spain;2020-03-01;Beauxbatons;01;03
Spain;2020-03-01;Iñaki Williams;01;03
Spain;2020-03-01;Alberola Rojas;01;03
Spain;2020-03-01;En-Nesyri;01;03
Spain;2020-03-01;Medié Jiménez;01;03
Spain;2020-03-01;Chihiro;01;03
Spain;2020-03-01;CARONTE;01;03
Spain;2020-03-01;El Bilbao;01;03
Spain;2020-03-01;Albiol;01;03
Spain;2020-03-01;Pickford;01;03
Spain;2020-03-01;El Atalanta;01;03
Spain;2020-03-01;Javi Muñoz;01;03
Spain;2020-03-01;víctor sánchez;01;03
Spain;2020-03-01;Los Goonies;01;03
Spain;2020-03-01;Calleja;01;03
Spain;2020-03-01;Tacón;01;03
Spain;2020-03-01;quimera;01;03
Spain;2020-03-01;Moscon;01;03
Spain;2020-03-01;Everton;01;03
Spain;2020-03-01;Unai Simón;01;03
Spain;2020-03-01;Saul;01;03
Spain;2020-03-01;Bruno Fernandes;01;03
Spain;2020-03-01;Asgreen;01;03
Spain;2020-03-01;Muniain;01;03
Spain;2020-03-01;Capa;01;03
Spain;2020-03-01;Osasuna;01;03
Spain;2020-03-01;#ChollometroMeMola;01;03
Spain;2020-03-01;Savic;01;03
Spain;2020-03-01;Lodi;01;03
Spain;2020-03-01;#HoyTocaGala7;01;03
Spain;2020-03-01;Raúl de Tomás;01;03
Spain;2020-03-01;Carrasco;01;03
Spain;2020-03-01;Oblak;01;03
Spain;2020-03-01;Villarreal;01;03
Spain;2020-03-01;#EspanyolAtleti;01;03
Spain;2020-03-01;Saúl;01;03
Spain;2020-03-01;#SupportMireyaVEVO;01;03
Spain;2020-03-01;De Gea;01;03
Spain;2020-03-01;#CarruselAMil;01;03
Spain;2020-03-02;#El9DeMayoVotamos;02;03
Spain;2020-03-02;#alvarobenitoresponde;02;03
Spain;2020-03-02;#Madridsemerecesegundoidioma;02;03
Spain;2020-03-02;#CHROMATICA;02;03
Spain;2020-03-02;#NoticiasVamos;02;03
Spain;2020-03-02;#SuperLunes;02;03
Spain;2020-03-02;#SVÚltimaHora;02;03
Spain;2020-03-02;#ElCascabel2M;02;03
Spain;2020-03-02;#ViaCrucisSevilla20;02;03
Spain;2020-03-02;#elintermedio;02;03
Spain;2020-03-02;#crimstalledatv3;02;03
Spain;2020-03-02;#VisibleWomen;02;03
Spain;2020-03-02;#ILoveMe;02;03
Spain;2020-03-02;#FF7R;02;03
Spain;2020-03-02;#SorteazoPSPlus;02;03
Spain;2020-03-02;#ON4onHot100;02;03
Spain;2020-03-02;#FDCrucero8;02;03
Spain;2020-03-02;#Hero100MForMX7;02;03
Spain;2020-03-02;#BTSWORLDDOMINATION;02;03
Spain;2020-03-02;#BillboardRecalculate;02;03
Spain;2020-03-02;#DeLaMorenaEH;02;03
Spain;2020-03-02;#firstdates2m;02;03
Spain;2020-03-02;#ChiringuitoMessi;02;03
Spain;2020-03-02;10- S;02;03
Spain;2020-03-02;6- Depende;02;03
Spain;2020-03-02;NIÑAS ABUSADAS MALLORCA;02;03
Spain;2020-03-02;Cloud;02;03
Spain;2020-03-02;Ronda 2;02;03
Spain;2020-03-02;Little Big;02;03
Spain;2020-03-02;4- Abajo;02;03
Spain;2020-03-02;María Callas;02;03
Spain;2020-03-02;Kiko Rivera;02;03
Spain;2020-03-02;NO OLVIDAMOS;02;03
Spain;2020-03-02;de la morena;02;03
Spain;2020-03-02;3- Sí;02;03
