location;date;trend;day;month
Spain;2020-04-01;#HOSPITALIFEMA;01;04
Spain;2020-04-01;#semanasantaencasa;01;04
Spain;2020-04-01;#FelizAbril;01;04
Spain;2020-04-01;#AEAT;01;04
Spain;2020-04-01;#ForoMICE;01;04
Spain;2020-04-01;#1deabril;01;04
Spain;2020-04-01;#PlanDeChoqueSanidad;01;04
Spain;2020-04-01;#FF7Remake;01;04
Spain;2020-04-01;#LaCafeteraAtuLado;01;04
Spain;2020-04-01;#1abril;01;04
Spain;2020-04-01;#libertaddepreguntar;01;04
Spain;2020-04-01;#abril2020;01;04
Spain;2020-04-01;#quédateconesp;01;04
Spain;2020-04-01;#QuedOTEnCasa1A;01;04
Spain;2020-04-01;#BuKezGerçek;01;04
Spain;2020-04-01;#unopuntosiete;01;04
Spain;2020-04-01;#doraemonenvodafonetv;01;04
Spain;2020-04-01;#AprilFoolsDay;01;04
Spain;2020-04-01;#Giandara1A;01;04
Spain;2020-04-01;#Renta2019;01;04
Spain;2020-04-01;#XSolidaria;01;04
Spain;2020-04-01;#UnidadYSolidaridad;01;04
Spain;2020-04-01;april's fool;01;04
Spain;2020-04-01;Pacto de la Moncloa;01;04
Spain;2020-04-01;Abogados Cristianos;01;04
Spain;2020-04-01;Baloo;01;04
Spain;2020-04-01;Jaume Roures;01;04
Spain;2020-04-01;Toshiro Mifune;01;04
Spain;2020-04-01;Monago;01;04
Spain;2020-04-01;Naomi Klein;01;04
Spain;2020-04-01;El ABC;01;04
Spain;2020-04-01;Cerral;01;04
Spain;2020-04-01;Víctor Curto;01;04
Spain;2020-04-01;más de 9000;01;04
Spain;2020-04-01;Mari Mar Blanco;01;04
Spain;2020-04-01;Llega a España;01;04
Spain;2020-04-01;rosa maría mateo;01;04
Spain;2020-04-01;Ready Player One;01;04
Spain;2020-04-01;Javier Maroto;01;04
Spain;2020-04-01;joaquín sabina;01;04
Spain;2020-04-01;Juan y Medio;01;04
Spain;2020-04-01;Ignacio Escolar;01;04
Spain;2020-04-01;Resistiré 2020 - Video Oficial;01;04
Spain;2020-04-01;miguel ángel blanco;01;04
Spain;2020-04-01;Dolores Delgado;01;04
Spain;2020-04-01;#ElPeorGobiernoDeLaHistoria;01;04
Spain;2020-04-01;#FelizMiercoles;01;04
Spain;2020-04-01;#QueNoMientan;01;04
Spain;2020-04-01;#Conecta2conS20yPcComponentes;01;04
Spain;2020-04-01;#cacerolada21h;01;04
Spain;2020-04-05;#TuiteaComoAlejandroSanz;05;04
Spain;2020-04-05;#semanasantasevilla;05;04
Spain;2020-04-05;#EnAbrilMePones;05;04
Spain;2020-04-05;#Ramos;05;04
Spain;2020-04-05;#logronocorreporsusheroes;05;04
Spain;2020-04-05;#LaFuerzaDelConfinamiento;05;04
Spain;2020-04-05;#Nirvana;05;04
Spain;2020-04-05;#billboardcountthe10k;05;04
Spain;2020-04-05;#DiaDelGeologo;05;04
Spain;2020-04-05;#wrestlemania35;05;04
Spain;2020-04-05;#FacundoIdeas;05;04
Spain;2020-04-05;#Giandara5A;05;04
Spain;2020-04-05;#encasaconsocialite;05;04
Spain;2020-04-05;#lacasadelpapel4;05;04
Spain;2020-04-05;#VivaLaVida286;05;04
Spain;2020-04-05;#DeRonde2020;05;04
Spain;2020-04-05;#ApoyareaSanchez;05;04
Spain;2020-04-05;#MiEspacioPcComponentes;05;04
Spain;2020-04-05;Josep Ramoneda;05;04
Spain;2020-04-05;Juliana;05;04
Spain;2020-04-05;Apagón;05;04
Spain;2020-04-05;Pollinica;05;04
Spain;2020-04-05;Beas de Segura;05;04
Spain;2020-04-05;Hiniesta;05;04
Spain;2020-04-05;Dolores y Misericordia;05;04
Spain;2020-04-05;Gracias Google;05;04
Spain;2020-04-05;Amargura;05;04
Spain;2020-04-05;Quo Vadis;05;04
Spain;2020-04-05;Grande-Marlaska;05;04
Spain;2020-04-05;Summa;05;04
Spain;2020-04-05;Yuval Harari;05;04
Spain;2020-04-05;Más de 12.000;05;04
Spain;2020-04-05;Jesús Despojado;05;04
Spain;2020-04-05;albert serra;05;04
Spain;2020-04-05;San Julián;05;04
Spain;2020-04-05;un 75%;05;04
Spain;2020-04-05;Molviedro;05;04
Spain;2020-04-05;ana duato;05;04
Spain;2020-04-05;Tour de Flandes;05;04
Spain;2020-04-05;Miranda Makaroff;05;04
Spain;2020-04-05;#PelisconPaja;05;04
Spain;2020-04-05;Carlos Bardem;05;04
Spain;2020-04-05;#PatiñoNoEsProfesional;05;04
Spain;2020-04-05;digimon;05;04
Spain;2020-04-05;Kurt Cobain;05;04
